,Author (English),Author (Japanese),Gender,Title,Text Length (in characters),Overall Sentiment,Overall Sentiment Normalized,Direct Speech Sentiment,Direct Speech Sentiment Normalized,Author's Speech Sentiment,Author's Speech Sentiment Normalized
96,Ota Yoko,大田 洋子,F,屍の街,96393,-0.15774344674978924,-0.004607660738549798,-0.16351720175249587,-0.010231252452057096,-0.17158405021750542,-0.005457947746263304
97,Ota Yoko,大田 洋子,F,広島から来た娘たち,4921,-0.18447521865889213,-0.02714810459537153,-0.06818181818181818,-0.021296422075719006,-0.17902116402116403,-0.02875018008629177
98,Ota Yoko,大田 洋子,F,広島の木の皮,3607,-0.29662162162162165,-0.04940701967499736,0.25925925925925924,0.17843445967710359,-0.3226027397260274,-0.0532637833047972
99,Ota Yoko,大田 洋子,F,恋,23548,-0.012382168704007785,-0.0007306992951610282,0.011825922421948912,0.0012058251724717246,-0.026204238921001925,-0.0018582230075520527
100,Ota Yoko,大田 洋子,F,愛するふるさと,2415,0.1672316384180791,0.03242753310138256,0.0,,0.1672316384180791,0.03242753310138256
101,Ota Yoko,大田 洋子,F,暴露の時間,28852,-0.0461292897047087,-0.002496696155031028,-0.01638906683749733,-0.001300449454306656,-0.06754187841144363,-0.00487017021347579
102,Ota Yoko,大田 洋子,F,死の魔手,1580,-0.21605442176870748,-0.06056990624367798,-0.16666666666666666,-0.09622504486493763,-0.25656565656565655,-0.0751648595083396
103,Ota Yoko,大田 洋子,F,病葉,25615,-0.07295028204119113,-0.004513825075802487,-0.02039860888175495,-0.0019228166046450746,-0.11334716459197787,-0.008759099092604947
104,Ota Yoko,大田 洋子,F,私は忘れたい広島の思い出を,7301,-0.1707156308851224,-0.018871928159777653,-0.35115995115995113,-0.07395927364276708,-0.14294871794871794,-0.01748703570836828
105,Ota Yoko,大田 洋子,F,蠣転の旅,43357,0.00956847385418814,0.00044144099160770337,-0.004219409282700422,-0.00034432208834350573,0.017002474372569812,0.0009281827808107797
106,Ota Yoko,大田 洋子,F,血のなかに死の灰が流れる,2090,-0.24213836477987422,-0.051205535865536396,-0.25,-0.07453559924999299,-0.24603174603174602,-0.06549536140928458
